iter	Passed	Remaining
0	42	42736
1	44	22110
2	45	15221
3	49	12331
4	51	10265
5	53	8851
6	55	7839
7	56	7063
8	58	6485
9	61	6053
10	63	5746
11	65	5358
12	66	5011
13	66	4712
14	67	4459
15	68	4229
16	69	4026
17	70	3836
18	70	3664
19	71	3510
20	72	3371
21	72	3244
22	73	3141
23	74	3038
24	75	2936
25	75	2842
26	76	2754
27	78	2715
28	78	2639
29	79	2566
30	79	2498
31	80	2433
32	81	2374
33	81	2318
34	82	2265
35	82	2214
36	83	2166
37	83	2120
38	84	2077
39	84	2036
40	85	1997
41	85	1960
42	86	1925
43	87	1891
44	87	1861
45	88	1836
46	89	1810
47	90	1785
48	90	1760
49	91	1736
50	93	1740
51	94	1724
52	95	1706
53	96	1688
54	97	1668
55	97	1651
56	98	1636
57	99	1616
58	100	1595
59	100	1575
60	101	1556
61	101	1538
62	102	1520
63	102	1503
64	103	1486
65	104	1480
66	105	1466
67	106	1453
68	106	1442
69	108	1443
70	109	1432
71	110	1419
72	111	1410
73	111	1401
74	112	1388
75	113	1376
76	113	1363
77	114	1350
78	114	1338
79	115	1327
80	118	1344
81	119	1342
82	120	1329
83	120	1318
84	121	1308
85	122	1300
86	123	1294
87	124	1285
88	124	1278
89	125	1271
90	126	1261
91	126	1252
92	127	1243
93	128	1234
94	128	1224
95	129	1215
96	129	1206
97	130	1197
98	132	1207
99	134	1206
100	134	1200
101	135	1194
102	136	1186
103	136	1179
104	138	1180
105	139	1175
106	139	1167
107	140	1160
108	141	1152
109	141	1145
110	142	1138
111	142	1131
112	143	1124
113	143	1117
114	144	1110
115	144	1103
116	145	1096
117	148	1108
118	149	1107
119	150	1101
120	150	1096
121	151	1092
122	152	1087
123	153	1082
124	153	1076
125	154	1070
126	154	1063
127	155	1057
128	155	1052
129	156	1046
130	156	1040
131	157	1035
132	157	1029
133	158	1024
134	159	1018
135	159	1013
136	160	1008
137	162	1014
138	163	1013
139	164	1009
140	165	1005
141	165	999
142	166	996
143	167	993
144	167	989
145	168	984
146	168	979
147	169	974
148	169	970
149	170	966
150	171	961
151	171	957
152	172	953
153	172	948
154	173	944
155	173	940
156	174	936
157	175	934
158	176	933
159	177	930
160	177	925
161	178	922
162	179	919
163	179	917
164	181	917
165	182	915
166	182	912
167	183	909
168	184	906
169	185	903
170	185	900
171	186	897
172	187	898
173	191	907
174	192	909
175	193	906
176	194	904
177	195	901
178	195	898
179	196	894
180	197	892
181	200	901
182	201	900
183	202	897
184	203	894
185	205	898
186	208	904
187	208	901
188	209	898
189	210	896
190	211	893
191	211	891
192	213	891
193	214	891
194	215	889
195	216	887
196	218	889
197	220	894
198	222	896
199	223	893
200	224	891
201	224	888
202	225	885
203	226	882
204	226	880
205	227	877
206	228	875
207	229	872
208	230	870
209	230	867
210	231	864
211	231	861
212	232	858
213	232	855
214	235	861
215	237	861
216	238	860
217	239	857
218	239	855
219	240	852
220	241	850
221	241	847
222	242	844
223	243	842
224	243	839
225	244	836
226	244	833
227	245	830
228	245	828
229	246	825
230	247	822
231	247	819
232	250	824
233	251	824
234	252	822
235	253	820
236	254	818
237	254	816
238	255	813
239	256	811
240	256	808
241	257	805
242	257	803
243	258	800
244	258	797
245	259	795
246	260	792
247	260	790
248	261	787
249	261	785
250	262	782
251	262	780
252	265	785
253	266	783
254	267	781
255	268	779
256	269	778
257	269	776
258	270	773
259	270	771
260	271	768
261	272	766
262	272	763
263	273	761
264	273	759
265	274	756
266	274	754
267	275	753
268	276	751
269	277	748
270	277	746
271	278	744
272	279	745
273	280	743
274	281	741
275	281	739
276	282	737
277	283	735
278	283	733
279	284	731
280	284	729
281	285	726
282	286	724
283	286	722
284	287	720
285	287	718
286	288	716
287	289	714
288	289	712
289	290	710
290	290	708
291	291	706
292	293	709
293	295	708
294	295	706
295	296	705
296	297	703
297	298	702
298	298	700
299	299	698
300	299	696
301	300	694
302	301	692
303	301	690
304	302	688
305	302	686
306	303	684
307	303	682
308	304	680
309	305	679
310	305	677
311	306	675
312	308	676
313	309	677
314	310	675
315	311	673
316	312	672
317	312	670
318	313	669
319	313	667
320	314	665
321	315	663
322	315	661
323	316	659
324	316	658
325	317	657
326	318	655
327	319	653
328	319	652
329	320	650
330	320	648
331	321	646
332	321	644
333	322	642
334	322	641
335	326	644
336	327	643
337	327	641
338	328	640
339	329	639
340	330	637
341	330	636
342	331	635
343	332	633
344	332	631
345	333	630
346	334	628
347	334	626
348	335	625
349	335	623
350	336	621
351	336	619
352	337	618
353	337	616
354	340	619
355	341	618
356	342	616
357	343	615
358	343	614
359	344	612
360	345	612
361	346	611
362	347	610
363	349	610
364	350	609
365	350	607
366	351	605
367	351	604
368	352	602
369	352	600
370	356	603
371	356	602
372	357	600
373	358	599
374	359	598
375	359	597
376	360	595
377	360	593
378	361	592
379	361	590
380	362	588
381	362	587
382	363	585
383	364	584
384	364	582
385	365	580
386	365	579
387	366	577
388	366	576
389	367	574
390	368	573
391	371	576
392	372	575
393	373	574
394	374	572
395	374	571
396	375	570
397	376	568
398	376	567
399	377	565
400	377	564
401	378	562
402	378	561
403	379	559
404	379	558
405	380	556
406	380	555
407	381	553
408	382	552
409	382	550
410	386	553
411	387	553
412	388	552
413	389	550
414	389	549
415	390	548
416	391	546
417	391	545
418	392	543
419	392	542
420	393	540
421	393	539
422	394	537
423	394	536
424	395	535
425	396	533
426	396	532
427	397	530
428	397	529
429	398	527
430	401	529
431	402	528
432	402	527
433	403	526
434	404	525
435	404	523
436	405	522
437	405	520
438	406	519
439	407	518
440	407	516
441	408	515
442	408	513
443	409	512
444	409	510
445	410	509
446	410	508
447	411	506
448	411	505
449	412	504
450	413	502
451	416	504
452	417	503
453	417	502
454	418	501
455	419	500
456	419	498
457	420	497
458	420	496
459	421	494
460	421	493
461	422	492
462	423	490
463	423	489
464	424	487
465	424	486
466	425	485
467	425	483
468	426	482
469	426	481
470	427	479
471	427	478
472	428	477
473	431	478
474	432	477
475	432	476
476	433	475
477	434	474
478	434	473
479	435	471
480	436	470
481	436	469
482	437	467
483	437	466
484	438	465
485	438	464
486	439	462
487	439	461
488	440	460
489	441	459
490	441	457
491	442	456
492	442	455
493	443	454
494	446	455
495	447	454
496	447	453
497	448	452
498	449	450
499	449	449
500	450	448
501	451	447
502	451	446
503	452	445
504	453	444
505	453	442
506	454	441
507	454	440
508	455	439
509	456	438
510	456	436
511	457	435
512	457	434
513	458	433
514	461	434
515	462	433
516	463	432
517	463	431
518	464	430
519	465	429
520	465	428
521	466	426
522	466	425
523	467	424
524	467	423
525	468	422
526	468	420
527	469	419
528	470	418
529	470	417
530	471	416
531	471	414
532	472	413
533	473	412
534	475	413
535	476	412
536	477	411
537	478	410
538	478	409
539	479	408
540	480	407
541	481	406
542	481	405
543	482	404
544	482	403
545	483	401
546	483	400
547	484	399
548	485	398
549	485	397
550	486	396
551	486	394
552	487	393
553	487	392
554	488	391
555	491	392
556	492	391
557	492	390
558	493	389
559	494	388
560	494	387
561	495	386
562	496	385
563	496	383
564	497	382
565	497	381
566	498	380
567	498	379
568	499	378
569	499	377
570	500	375
571	501	374
572	501	373
573	502	372
574	502	371
575	503	370
576	506	371
577	507	370
578	507	369
579	508	368
580	509	367
581	509	366
582	510	365
583	511	364
584	511	362
585	512	361
586	512	360
587	513	359
588	513	358
589	514	357
590	515	356
591	515	355
592	516	354
593	516	353
594	517	352
595	517	350
596	518	349
597	521	350
598	522	349
599	522	348
600	523	347
601	523	346
602	524	345
603	525	344
604	525	343
605	526	342
606	527	341
607	527	340
608	528	339
609	528	337
610	529	336
611	529	335
612	530	334
613	530	333
614	531	332
615	532	331
616	532	330
617	533	329
618	535	329
619	536	329
620	537	328
621	538	327
622	538	326
623	539	325
624	540	324
625	540	323
626	541	322
627	541	321
628	542	319
629	543	318
630	544	318
631	544	317
632	545	316
633	545	314
634	546	313
635	546	312
636	547	311
637	547	310
638	548	309
639	551	310
640	552	309
641	552	308
642	553	307
643	554	306
644	554	305
645	555	304
646	556	303
647	556	302
648	557	301
649	557	300
650	558	299
651	558	298
652	559	297
653	560	296
654	560	295
655	561	294
656	561	293
657	562	292
658	562	291
659	563	290
660	565	290
661	566	289
662	567	288
663	568	287
664	569	286
665	569	285
666	570	284
667	571	283
668	571	282
669	572	281
670	573	280
671	573	279
672	574	278
673	574	277
674	575	276
675	575	275
676	576	274
677	576	273
678	577	272
679	577	271
680	578	270
681	579	270
682	580	269
683	580	268
684	581	267
685	582	266
686	582	265
687	583	264
688	584	263
689	584	262
690	585	261
691	585	260
692	586	259
693	586	258
694	587	257
695	588	256
696	588	255
697	589	254
698	589	253
699	590	252
700	590	251
701	591	251
702	594	251
703	595	250
704	596	249
705	596	248
706	597	247
707	598	246
708	598	245
709	599	244
710	599	243
711	600	242
712	601	241
713	601	240
714	602	240
715	602	239
716	603	238
717	603	237
718	604	236
719	604	235
720	605	234
721	605	233
722	606	232
723	609	232
724	610	231
725	610	230
726	611	229
727	612	228
728	614	228
729	615	227
730	616	226
731	621	227
732	622	226
733	623	226
734	624	225
735	625	224
736	626	223
737	627	222
738	628	221
739	628	220
740	629	220
741	629	219
742	630	218
743	631	217
744	631	216
745	634	216
746	636	215
747	637	214
748	638	214
749	639	213
750	640	212
751	640	211
752	641	210
753	641	209
754	642	208
755	642	207
756	643	206
757	643	205
758	644	204
759	644	203
760	645	202
761	646	201
762	647	201
763	650	200
764	651	199
765	651	199
766	652	198
767	653	197
768	653	196
769	654	195
770	654	194
771	655	193
772	656	192
773	656	191
774	657	190
775	657	189
776	658	188
777	658	187
778	659	187
779	660	186
780	660	185
781	661	184
782	661	183
783	662	182
784	665	182
785	666	181
786	666	180
787	667	179
788	668	178
789	668	177
790	669	176
791	669	175
792	670	175
793	671	174
794	671	173
795	672	172
796	672	171
797	673	170
798	674	169
799	675	168
800	675	167
801	676	166
802	676	166
803	680	165
804	680	164
805	681	164
806	682	163
807	683	162
808	684	161
809	685	160
810	685	159
811	686	158
812	687	158
813	687	157
814	688	156
815	689	155
816	689	154
817	690	153
818	691	152
819	691	151
820	692	150
821	695	150
822	696	149
823	696	148
824	697	147
825	698	147
826	699	146
827	699	145
828	700	144
829	701	143
830	701	142
831	702	141
832	703	141
833	704	140
834	705	139
835	705	138
836	706	137
837	707	136
838	708	136
839	709	135
840	710	134
841	711	133
842	711	132
843	712	131
844	713	130
845	713	129
846	714	129
847	715	128
848	715	127
849	716	126
850	717	125
851	718	124
852	718	123
853	719	122
854	720	122
855	722	121
856	723	120
857	724	119
858	724	119
859	725	118
860	726	117
861	726	116
862	727	115
863	728	114
864	728	113
865	729	112
866	730	112
867	730	111
868	731	110
869	732	109
870	732	108
871	733	107
872	734	106
873	734	105
874	735	105
875	736	104
876	737	103
877	738	102
878	738	101
879	739	100
880	740	99
881	740	99
882	741	98
883	742	97
884	743	96
885	743	95
886	744	94
887	745	94
888	745	93
889	746	92
890	747	91
891	747	90
892	748	89
893	749	88
894	750	88
895	751	87
896	751	86
897	752	85
898	753	84
899	753	83
900	754	82
901	755	82
902	756	81
903	757	80
904	758	79
905	758	78
906	759	77
907	759	76
908	760	76
909	761	75
910	761	74
911	762	73
912	762	72
913	764	71
914	765	71
915	765	70
916	766	69
917	766	68
918	767	67
919	768	66
920	768	65
921	769	65
922	769	64
923	770	63
924	770	62
925	771	61
926	771	60
927	772	59
928	773	59
929	773	58
930	774	57
931	774	56
932	775	55
